Viim.,Avoin,Korkea,Matala,Vol.
6239.64,6004.29,6266.29,6004.29,126540000
6219.64,6245.99,6303.48,6158.21,91340000
6356.87,6249.9,6408.11,6248.53,93360000
6249.68,6379.74,6381.33,6200.15,69070000
6322.58,6228.99,6309.57,6168.31,67730000
6594.87,6294.36,6589.68,6294.36,135910000
6618.12,6585.67,6635.04,6533.64,100540000
6646.07,6573.25,6694.47,6573.25,80650000
6566.51,6685.06,6703.05,6517.04,108270000
6799.49,6528.98,6745.02,6490.87,104210000
6863.04,6735.71,6884.06,6735.71,90320000
6790.33,6871.64,6878.56,6766.27,89670000
7015.32,6805.05,7082.17,6805.05,145940000
6675.64,6942.09,7039.2,6539.89,169360000
6672.2,6563.12,6698.94,6515.97,139040000
6588.82,6607.74,6683.85,6560.42,109240000
6425.77,6562.22,6676.78,6380.62,104770000
6242.85,6405.47,6481.93,6145.39,178140000
6189.95,6244.01,6284.67,6139.43,110020000
6168.49,6191.91,6234.8,6089.12,100070000
6139.28,6198.48,6198.56,6028.46,84380000
6210.95,6085.5,6219.5,6085.5,59350000
6167.11,6216.99,6261.97,6144.64,82560000
6023.56,6163.03,6189.56,5975.25,102660000
5920.17,5987.73,6097.5,5923.22,106060000
5953.92,5941.03,6011.82,5876.82,99090000
5877.1,5897.28,5954.71,5833.85,47750000
5674.72,5910.33,5910.44,5697.07,30980000
5725.36,5717.8,5775.37,5649.48,43410000
6050.51,5775.37,6057.93,5719.02,73620000
6066.9,6052.81,6165.33,6033.13,63670000
6028.79,6082.94,6224.23,5971.03,89920000
5766.11,6001.21,6029.03,5793.66,92190000
5901.67,5797.95,5943.23,5709.12,101230000
5886.22,5943.23,5983.55,5818.81,98120000
5962.24,5957.3,6068.6,5928.79,76370000
6029.44,5951.01,6081.61,5948.92,85690000
5929.12,6030.44,6088.55,5933.77,76090000
5794.51,5936.61,5938.09,5787.51,137540000
5649.83,5826.6,5826.82,5631.13,130480000
5667.58,5689.25,5754.73,5659.77,76950000
5634.82,5663.41,5775.95,5651.34,89540000
5640.49,5656.23,5710.17,5531.86,139660000
5434.74,5668.75,5810.25,5506.28,220410000
5480.87,5517.44,5548.42,5392.89,134860000
5278.81,5502.14,5503.9,5314.25,106880000
5236.54,5340.05,5360.5,5217.32,112780000
5388.27,5271.87,5391.95,5144.26,141460000
5333.77,5322.36,5462.93,5322.14,125930000
5267.69,5386.95,5386.95,5149.83,146630000
5329.37,5210.25,5345.7,5210.18,79460000
5210.84,5345.7,5346.55,5216.21,88970000
5266.47,5225.83,5239.44,5148.98,81010000
5139.44,5230.76,5278.05,5106.86,117410000
5144.34,5152.71,5257.06,5137.99,93660000
5163.67,5140.91,5154.43,5080.12,75310000
5275.7,5124.55,5303.31,5124.55,90720000
5221.02,5302.95,5305.68,5199.22,65650000
5053.33,5207.99,5210.09,5071.54,90520000
5150.57,5071.54,5210.37,5071.44,78900000
5265.43,5175.91,5329.7,5175.86,66030000
5314.0,5274.47,5349.34,5229.04,75300000
5214.62,5347.45,5348.59,5209.71,68310000
5145.58,5226.61,5247.69,5121.3,61030000
5125.51,5123.32,5153.51,5070.59,58190000
5124.45,5099.26,5166.07,5089.47,67970000
4921.18,5143.95,5143.95,4933.58,104240000
4882.0,4955.6,5006.86,4879.29,97090000
4914.6,4912.6,4912.65,4783.58,109490000
5002.44,4900.77,5022.74,4885.12,77150000
5012.77,5001.52,5097.66,5000.95,66390000
4922.44,5008.74,5008.94,4896.24,70530000
4903.59,4922.81,4931.44,4856.35,70800000
4858.29,4885.32,4932.06,4845.36,73230000
4745.86,4881.57,4881.57,4692.17,92320000
4694.12,4703.67,4797.44,4695.79,77220000
4765.16,4702.58,4764.73,4517.41,193280000
4805.94,4732.38,4863.37,4732.38,175680000
5010.93,4843.5,4987.15,4842.65,110230000
5147.76,4964.03,5198.37,4964.03,150650000
5349.62,5174.72,5358.29,5041.03,109570000
5375.75,5329.28,5537.13,5318.41,166770000
5421.4,5403.08,5488.43,5343.93,106700000
5393.43,5444.9,5448.39,5348.3,81500000
5592.33,5371.09,5544.81,5369.83,119200000
5314.53,5542.98,5545.38,5320.14,80590000
5365.16,5320.14,5320.14,5158.86,100640000
5307.08,5300.94,5388.23,5268.41,86670000
5254.53,5279.54,5279.54,5168.49,85400000
5157.28,5225.15,5267.19,5133.28,64090000
4984.15,5177.64,5177.77,4921.41,79480000
4997.62,4921.41,5026.92,4918.3,76930000
5276.97,5026.71,5259.02,5026.71,88240000
5321.53,5247.35,5344.46,5230.17,86460000
5238.14,5303.59,5303.64,5196.35,109920000
5432.05,5263.28,5476.05,5260.05,94880000
5298.75,5457.62,5457.8,5287.57,81200000
5262.7,5304.84,5367.24,5204.29,109910000
5138.55,5325.79,5325.79,5112.74,83930000
5178.44,5116.33,5243.76,5116.32,101270000
5214.12,5161.68,5202.47,5119.62,67990000
5279.65,5184.93,5295.31,5183.13,86460000
5273.62,5279.59,5385.76,5244.08,100210000
5497.3,5256.56,5479.44,5161.76,189840000
5530.57,5470.24,5538.22,5462.95,73240000
5681.04,5521.02,5727.49,5520.39,116270000
5572.13,5643.94,5701.57,5582.96,90500000
5430.85,5599.3,5601.51,5441.67,87730000
5567.22,5457.92,5562.04,5417.79,70150000
5601.07,5562.04,5684.38,5561.83,99460000
5589.24,5605.09,5669.88,5568.37,76150000
5562.05,5633.67,5633.67,5482.37,86360000
5618.95,5514.6,5676.31,5511.85,59550000
5667.49,5646.3,5646.73,5586.07,74920000
5650.54,5629.97,5742.28,5629.81,104750000
5498.85,5667.04,5667.76,5532.72,95940000
5544.06,5538.06,5544.66,5439.39,75260000
5575.99,5488.35,5603.56,5488.35,63630000
5629.37,5556.16,5627.53,5555.73,84820000
5595.69,5613.38,5676.1,5575.87,84130000
5672.24,5576.44,5701.38,5576.38,67440000
5657.01,5674.32,5745.6,5614.42,76560000
5455.67,5646.76,5647.93,5458.17,77830000
5409.11,5484.36,5488.38,5401.32,79640000
5313.09,5420.73,5423.86,5290.25,84350000
5412.62,5341.08,5448.62,5331.99,60220000
5354.71,5432.51,5452.01,5337.01,51960000
5317.29,5348.73,5372.35,5298.8,21980000
5377.09,5307.78,5347.47,5221.61,73570000
5571.03,5321.32,5571.91,5321.32,108300000
5602.82,5565.23,5655.64,5537.62,82710000
5734.4,5612.63,5742.58,5611.9,80160000
5668.11,5698.46,5700.1,5601.66,77340000
5632.62,5657.41,5707.91,5607.26,79000000
5585.94,5677.23,5677.57,5572.52,87410000
5715.9,5573.32,5767.32,5572.21,108430000
5664.39,5750.3,5750.57,5595.17,54290000
5646.32,5671.67,5757.21,5609.0,136720000
5645.86,5628.0,5696.9,5623.53,85720000
5603.05,5684.91,5702.38,5586.76,86630000
5513.31,5617.18,5625.06,5522.77,76990000
5578.07,5540.84,5581.57,5466.41,63410000
5663.48,5579.4,5692.68,5579.4,91330000
5706.38,5660.26,5705.34,5638.12,70870000
5710.03,5675.61,5747.05,5674.27,106590000
5611.26,5745.61,5745.61,5640.2,71290000
5537.79,5640.2,5640.33,5520.33,77340000
5546.3,5520.56,5566.57,5518.64,59480000
5578.81,5547.51,5589.19,5517.5,63060000
5616.31,5564.86,5641.83,5561.97,46310000
5521.61,5626.86,5626.86,5493.15,58060000
5427.14,5519.59,5539.25,5411.24,64670000
5522.32,5419.59,5536.73,5419.59,59730000
